GP,PPG,RPG,APG,SPG,BPG,TOPG,FGP,FTP,3PP,FGAPG,FTAPG,3PAPG,ORPG,DRPG,PAPG,S10,WPCT,GPA,PPGA,RPGA,APGA,SPGA,BPGA,TOPGA,FGPA,FTPA,3PPA,FGAPGA,FTAPGA,3PAPGA,ORPGA,DRPGA,PAPGA,S10A,WPCTA,result
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,27.0,66.4,35.0,11.3,6.6,3.9,12.6,42.5,70.0,29.5,56.44444444444444,18.51851851851852,18.814814814814813,9.481481481481481,25.48148148148148,70.96296296296296,0.3,0.37037037037037035,0
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,29.0,61.8,32.9,13.0,5.6,1.5,14.9,41.2,66.4,29.6,54.37931034482759,15.724137931034482,22.24137931034483,10.206896551724139,22.655172413793103,69.85714285714286,0.4,0.39285714285714285,0
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,1
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,1
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,23.0,69.6,32.7,12.9,4.4,3.3,15.0,44.5,71.4,36.6,55.73913043478261,14.130434782608695,27.17391304347826,8.869565217391305,23.782608695652176,75.28571428571429,0.5,0.3333333333333333,1
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,23.0,69.6,32.7,12.9,4.4,3.3,15.0,44.5,71.4,36.6,55.73913043478261,14.130434782608695,27.17391304347826,8.869565217391305,23.782608695652176,75.28571428571429,0.5,0.3333333333333333,0
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,24.0,73.2,39.0,11.3,5.9,3.2,13.8,42.8,74.5,33.7,60.708333333333336,17.666666666666668,23.708333333333332,11.0,28.0,72.25,0.3,0.45,0
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,24.0,73.2,39.0,11.3,5.9,3.2,13.8,42.8,74.5,33.7,60.708333333333336,17.666666666666668,23.708333333333332,11.0,28.0,72.25,0.3,0.45,0
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,28.0,74.9,33.4,15.9,4.6,2.3,9.7,49.1,77.7,39.1,55.32142857142857,13.142857142857142,26.428571428571427,7.107142857142857,26.321428571428573,62.208333333333336,1.0,0.75,0
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,28.0,74.9,33.4,15.9,4.6,2.3,9.7,49.1,77.7,39.1,55.32142857142857,13.142857142857142,26.428571428571427,7.107142857142857,26.321428571428573,62.208333333333336,1.0,0.75,0
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,0
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,0
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,27.0,71.2,34.0,13.5,6.2,2.0,12.1,46.0,69.2,35.1,55.2962962962963,18.62962962962963,21.074074074074073,7.703703703703703,26.296296296296298,70.21739130434783,0.5,0.4782608695652174,1
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,27.0,71.2,34.0,13.5,6.2,2.0,12.1,46.0,69.2,35.1,55.2962962962963,18.62962962962963,21.074074074074073,7.703703703703703,26.296296296296298,70.21739130434783,0.5,0.4782608695652174,0
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,25.0,72.0,34.8,14.0,7.1,2.7,13.2,43.7,69.8,37.9,58.8,16.04,24.88,10.36,24.44,72.54545454545455,0.5,0.4090909090909091,0
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,25.0,72.0,34.8,14.0,7.1,2.7,13.2,43.7,69.8,37.9,58.8,16.04,24.88,10.36,24.44,72.54545454545455,0.5,0.4090909090909091,1
24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,29.0,72.6,36.7,10.6,8.0,4.2,10.5,45.1,69.6,30.9,60.206896551724135,18.93103448275862,16.379310344827587,10.724137931034482,25.93103448275862,60.7037037037037,0.5,0.7407407407407407,0
24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,28.0,77.0,36.1,15.9,7.1,3.5,11.1,47.6,64.2,36.7,59.82142857142857,16.071428571428573,26.5,8.464285714285714,27.642857142857142,68.28571428571429,0.7,0.7142857142857143,0
24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,30.0,81.3,35.7,18.2,7.7,2.9,12.0,48.9,73.8,34.4,60.96666666666667,17.166666666666668,26.233333333333334,8.8,26.933333333333334,69.41379310344827,0.7,0.8275862068965517,0
24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,19.0,76.8,39.7,14.9,6.8,2.5,16.3,44.4,68.6,31.2,64.10526315789474,17.42105263157895,25.473684210526315,11.68421052631579,28.05263157894737,79.58823529411765,0.1,0.23529411764705882,0
24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,29.0,76.7,36.3,16.5,6.9,3.0,12.9,47.9,71.8,37.1,59.93103448275862,14.931034482758621,23.20689655172414,8.689655172413794,27.620689655172413,72.57692307692308,0.6,0.5769230769230769,0
24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,0
24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,0
24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,28.0,74.9,33.4,15.9,4.6,2.3,9.7,49.1,77.7,39.1,55.32142857142857,13.142857142857142,26.428571428571427,7.107142857142857,26.321428571428573,62.208333333333336,1.0,0.75,0
24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,28.0,74.9,33.4,15.9,4.6,2.3,9.7,49.1,77.7,39.1,55.32142857142857,13.142857142857142,26.428571428571427,7.107142857142857,26.321428571428573,62.208333333333336,1.0,0.75,0
24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,24.0,73.2,39.0,11.3,5.9,3.2,13.8,42.8,74.5,33.7,60.708333333333336,17.666666666666668,23.708333333333332,11.0,28.0,72.25,0.3,0.45,0
24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,24.0,73.2,39.0,11.3,5.9,3.2,13.8,42.8,74.5,33.7,60.708333333333336,17.666666666666668,23.708333333333332,11.0,28.0,72.25,0.3,0.45,0
24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,23.0,69.6,32.7,12.9,4.4,3.3,15.0,44.5,71.4,36.6,55.73913043478261,14.130434782608695,27.17391304347826,8.869565217391305,23.782608695652176,75.28571428571429,0.5,0.3333333333333333,0
24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,23.0,69.6,32.7,12.9,4.4,3.3,15.0,44.5,71.4,36.6,55.73913043478261,14.130434782608695,27.17391304347826,8.869565217391305,23.782608695652176,75.28571428571429,0.5,0.3333333333333333,0
24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,0
24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,0
24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,25.0,72.0,34.8,14.0,7.1,2.7,13.2,43.7,69.8,37.9,58.8,16.04,24.88,10.36,24.44,72.54545454545455,0.5,0.4090909090909091,0
